agent;timestep;position;direction;status;given_command
0;0;None;n;waiting;nothing
1;0;None;n;waiting;nothing
2;0;None;e;waiting;nothing
3;0;None;n;waiting;nothing
4;0;None;n;waiting;nothing
5;0;None;s;waiting;nothing
0;1;None;n;waiting;nothing
1;1;None;n;waiting;nothing
2;1;None;e;waiting;nothing
3;1;None;n;waiting;nothing
4;1;None;n;waiting;nothing
5;1;None;s;ready to depart;move_forward
0;2;None;n;ready to depart;move_forward
1;2;None;n;waiting;nothing
2;2;None;e;waiting;nothing
3;2;None;n;waiting;nothing
4;2;None;n;waiting;nothing
5;2;(25, 9);s;moving;move_forward
0;3;(25, 9);n;moving;move_forward
1;3;None;n;waiting;nothing
2;3;None;e;waiting;nothing
3;3;None;n;ready to depart;nothing
4;3;None;n;waiting;nothing
5;3;(26, 9);s;moving;move_forward
0;4;(24, 9);n;moving;move_forward
1;4;None;n;waiting;nothing
2;4;None;e;waiting;nothing
3;4;None;n;ready to depart;nothing
4;4;None;n;waiting;nothing
5;4;(27, 9);s;moving;move_forward
0;5;(23, 9);n;moving;move_forward
1;5;None;n;waiting;nothing
2;5;None;e;waiting;nothing
3;5;None;n;ready to depart;nothing
4;5;None;n;waiting;nothing
5;5;(28, 9);s;moving;move_forward
0;6;(22, 9);n;moving;move_forward
1;6;None;n;waiting;nothing
2;6;None;e;waiting;nothing
3;6;None;n;ready to depart;nothing
4;6;None;n;waiting;nothing
5;6;(29, 9);s;moving;move_forward
0;7;(21, 9);n;moving;move_forward
1;7;None;n;waiting;nothing
2;7;None;e;waiting;nothing
3;7;None;n;ready to depart;nothing
4;7;None;n;waiting;nothing
5;7;(30, 9);s;moving;move_forward
0;8;(20, 9);n;moving;move_forward
1;8;None;n;waiting;nothing
2;8;None;e;ready to depart;nothing
3;8;None;n;ready to depart;nothing
4;8;None;n;waiting;nothing
5;8;(31, 9);s;moving;move_forward
0;9;(19, 9);n;moving;move_forward
1;9;None;n;waiting;nothing
2;9;None;e;ready to depart;nothing
3;9;None;n;ready to depart;nothing
4;9;None;n;waiting;nothing
5;9;(32, 9);s;moving;move_forward
0;10;(18, 9);n;moving;move_forward
1;10;None;n;waiting;nothing
2;10;None;e;ready to depart;nothing
3;10;None;n;ready to depart;nothing
4;10;None;n;waiting;nothing
5;10;(33, 9);s;moving;move_forward
0;11;(17, 9);n;moving;move_forward
1;11;None;n;waiting;nothing
2;11;None;e;ready to depart;move_forward
3;11;None;n;ready to depart;nothing
4;11;None;n;waiting;nothing
5;11;(34, 9);s;moving;move_forward
0;12;(16, 9);n;moving;move_forward
1;12;None;n;waiting;nothing
2;12;(48, 41);e;moving;move_forward
3;12;None;n;ready to depart;nothing
4;12;None;n;waiting;nothing
5;12;(35, 9);s;moving;move_forward
0;13;(15, 9);n;moving;move_forward
1;13;None;n;waiting;nothing
2;13;(48, 42);e;moving;move_forward
3;13;None;n;ready to depart;nothing
4;13;None;n;waiting;nothing
5;13;(36, 9);s;moving;move_forward
0;14;(14, 9);n;moving;move_forward
1;14;None;n;waiting;nothing
2;14;(48, 43);e;moving;move_forward
3;14;None;n;ready to depart;nothing
4;14;None;n;waiting;nothing
5;14;(37, 9);s;moving;move_forward
0;15;(13, 9);n;moving;move_forward
1;15;None;n;waiting;nothing
2;15;(48, 44);e;moving;move_forward
3;15;None;n;ready to depart;nothing
4;15;None;n;waiting;nothing
5;15;(38, 9);s;moving;move_forward
0;16;(12, 9);n;moving;move_forward
1;16;None;n;waiting;nothing
2;16;(48, 45);e;moving;move_left
3;16;None;n;ready to depart;nothing
4;16;None;n;waiting;nothing
5;16;(39, 9);s;moving;move_forward
0;17;(11, 9);n;moving;move_forward
1;17;None;n;waiting;nothing
2;17;(47, 45);n;moving;move_forward
3;17;None;n;ready to depart;nothing
4;17;None;n;waiting;nothing
5;17;(40, 9);s;moving;move_left
0;18;(10, 9);n;moving;move_forward
1;18;None;n;waiting;nothing
2;18;(46, 45);n;moving;move_forward
3;18;None;n;ready to depart;nothing
4;18;None;n;waiting;nothing
5;18;(40, 10);e;moving;move_forward
0;19;(9, 9);n;moving;move_forward
1;19;None;n;waiting;nothing
2;19;(45, 45);n;moving;wait
3;19;None;n;ready to depart;nothing
4;19;None;n;waiting;nothing
5;19;(40, 11);e;moving;move_forward
0;20;(8, 9);n;moving;move_forward
1;20;None;n;waiting;nothing
2;20;(45, 45);n;stopped;move_forward
3;20;None;n;ready to depart;nothing
4;20;None;n;waiting;nothing
5;20;(40, 12);e;moving;move_forward
0;21;(7, 9);n;moving;move_forward
1;21;None;n;waiting;nothing
2;21;(44, 45);n;moving;move_forward
3;21;None;n;ready to depart;nothing
4;21;None;n;waiting;nothing
5;21;(40, 12);e;malfunction (on map);wait
0;22;(6, 9);n;moving;move_forward
1;22;None;n;waiting;nothing
2;22;(43, 45);n;moving;move_forward
3;22;None;n;ready to depart;nothing
4;22;None;n;waiting;nothing
5;22;(40, 12);e;malfunction (on map);wait
0;23;(5, 9);n;moving;move_right
1;23;None;n;waiting;nothing
2;23;(42, 45);n;moving;move_forward
3;23;None;n;ready to depart;nothing
4;23;None;n;waiting;nothing
5;23;(40, 12);e;malfunction (on map);wait
0;24;(5, 10);e;moving;move_forward
1;24;None;n;waiting;nothing
2;24;(41, 45);n;moving;move_forward
3;24;None;n;ready to depart;nothing
4;24;None;n;waiting;nothing
5;24;(40, 12);e;malfunction (on map);move_forward
0;25;(5, 11);e;moving;move_forward
1;25;None;n;waiting;nothing
2;25;(40, 45);n;moving;move_forward
3;25;None;n;ready to depart;nothing
4;25;None;n;waiting;nothing
5;25;(40, 13);e;moving;move_forward
0;26;(5, 12);e;moving;move_forward
1;26;None;n;waiting;nothing
2;26;(39, 45);n;moving;move_forward
3;26;None;n;ready to depart;nothing
4;26;None;n;waiting;nothing
5;26;(40, 14);e;moving;move_forward
0;27;(5, 13);e;moving;move_forward
1;27;None;n;waiting;nothing
2;27;(38, 45);n;moving;move_forward
3;27;None;n;ready to depart;nothing
4;27;None;n;waiting;nothing
5;27;(40, 15);e;moving;move_forward
0;28;(5, 14);e;moving;move_forward
1;28;None;n;waiting;nothing
2;28;(37, 45);n;moving;move_forward
3;28;None;n;ready to depart;nothing
4;28;None;n;waiting;nothing
5;28;(40, 16);e;moving;move_forward
0;29;(5, 15);e;moving;move_forward
1;29;None;n;waiting;nothing
2;29;(36, 45);n;moving;move_forward
3;29;None;n;ready to depart;nothing
4;29;None;n;waiting;nothing
5;29;(40, 17);e;moving;move_forward
0;30;(5, 16);e;moving;move_forward
1;30;None;n;waiting;nothing
2;30;(35, 45);n;moving;move_forward
3;30;None;n;ready to depart;nothing
4;30;None;n;waiting;nothing
