agent;timestep;action;position;direction;status
0;0;wait;None;0;0
0;1;move_forward;None;0;1
0;2;move_forward;(6, 34);0;3
0;3;move_forward;(5, 34);0;3
0;4;move_forward;(4, 34);0;3
0;5;move_forward;(3, 34);0;3
0;6;move_forward;(2, 34);0;3
0;7;move_forward;(1, 34);0;3
0;8;move_forward;(1, 33);3;3
0;9;move_forward;(1, 32);3;3
0;10;move_forward;(1, 31);3;3
0;11;move_forward;(1, 30);3;3
0;12;move_forward;(1, 29);3;3
0;13;move_left;(1, 28);3;3
0;14;move_forward;(2, 28);2;3
0;15;move_forward;(2, 27);3;3
0;16;move_forward;(2, 26);3;3
0;17;move_forward;(2, 25);3;3
0;18;move_forward;(2, 24);3;3
0;19;move_forward;(2, 23);3;3
0;20;move_forward;(2, 22);3;3
0;21;move_forward;(2, 21);3;3
0;22;move_forward;(2, 20);3;3
0;23;move_forward;(2, 19);3;3
0;24;move_forward;(2, 18);3;3
0;25;move_forward;(2, 17);3;3
0;26;move_forward;(2, 16);3;3
0;27;move_forward;(2, 15);3;3
0;28;move_forward;(2, 14);3;3
0;29;move_forward;(2, 13);3;3
0;30;move_forward;(2, 12);3;3
0;31;move_forward;(3, 12);2;3
0;32;move_forward;(4, 12);2;3
0;33;move_forward;(5, 12);2;3
0;34;move_forward;(5, 11);3;3
0;35;move_forward;(6, 11);2;3
0;36;move_forward;(6, 10);3;3
0;37;move_forward;(6, 9);3;3
0;38;move_forward;(6, 8);3;3
0;39;move_forward;(6, 7);3;3
0;40;move_forward;(6, 6);3;3
0;41;move_forward;(6, 5);3;3
0;42;move_forward;(6, 4);3;3
0;43;move_forward;(6, 3);3;3
0;44;move_forward;(6, 2);3;3
0;45;move_forward;(6, 1);3;3
0;46;move_forward;(7, 1);2;3
0;47;move_forward;(8, 1);2;3
0;48;move_forward;(9, 1);2;3
0;49;move_forward;(10, 1);2;3
0;50;move_forward;(11, 1);2;3
0;51;move_forward;(12, 1);2;3
0;52;move_forward;(13, 1);2;3
0;53;move_forward;(14, 1);2;3
0;54;move_forward;(15, 1);2;3
0;55;move_forward;(16, 1);2;3
0;56;move_forward;(17, 1);2;3
0;57;move_forward;(18, 1);2;3
