agent;timestep;position;direction;status;given_command
0;0;None;s;waiting;nothing
1;0;None;e;waiting;nothing
2;0;None;e;waiting;nothing
3;0;None;s;waiting;nothing
4;0;None;w;waiting;nothing
5;0;None;s;waiting;nothing
0;1;None;s;waiting;nothing
1;1;None;e;waiting;nothing
2;1;None;e;waiting;nothing
3;1;None;s;waiting;nothing
4;1;None;w;waiting;nothing
5;1;None;s;waiting;nothing
0;2;None;s;ready to depart;move_forward
1;2;None;e;waiting;nothing
2;2;None;e;waiting;nothing
3;2;None;s;waiting;nothing
4;2;None;w;waiting;nothing
5;2;None;s;waiting;nothing
0;3;(23, 19);s;moving;move_forward
1;3;None;e;waiting;nothing
2;3;None;e;waiting;nothing
3;3;None;s;waiting;nothing
4;3;None;w;ready to depart;move_forward
5;3;None;s;waiting;nothing
0;4;(24, 19);s;moving;move_forward
1;4;None;e;waiting;nothing
2;4;None;e;waiting;nothing
3;4;None;s;waiting;nothing
4;4;(38, 14);w;moving;move_forward
5;4;None;s;waiting;nothing
0;5;(25, 19);s;moving;move_forward
1;5;None;e;waiting;nothing
2;5;None;e;waiting;nothing
3;5;None;s;waiting;nothing
4;5;(38, 13);w;moving;move_left
5;5;None;s;waiting;nothing
0;6;(26, 19);s;moving;move_forward
1;6;None;e;waiting;nothing
2;6;None;e;waiting;nothing
3;6;None;s;waiting;nothing
4;6;(39, 13);s;moving;move_right
5;6;None;s;waiting;nothing
0;7;(27, 19);s;moving;move_forward
1;7;None;e;waiting;nothing
2;7;None;e;waiting;nothing
3;7;None;s;ready to depart;move_forward
4;7;(39, 12);w;moving;move_right
5;7;None;s;waiting;nothing
0;8;(28, 19);s;moving;move_forward
1;8;None;e;waiting;nothing
2;8;None;e;waiting;nothing
3;8;(25, 47);s;moving;move_forward
4;8;(38, 12);n;moving;move_left
5;8;None;s;waiting;nothing
0;9;(29, 19);s;moving;move_forward
1;9;None;e;waiting;nothing
2;9;None;e;waiting;nothing
3;9;(26, 47);s;moving;move_forward
4;9;(38, 11);w;moving;move_forward
5;9;None;s;waiting;nothing
0;10;(30, 19);s;moving;move_forward
1;10;None;e;waiting;nothing
2;10;None;e;waiting;nothing
3;10;(27, 47);s;moving;move_forward
4;10;(38, 10);w;moving;move_left
5;10;None;s;waiting;nothing
0;11;(31, 19);s;moving;move_forward
1;11;None;e;waiting;nothing
2;11;None;e;waiting;nothing
3;11;(28, 47);s;moving;move_forward
4;11;(39, 10);s;moving;move_forward
5;11;None;s;waiting;nothing
0;12;(32, 19);s;moving;move_forward
1;12;None;e;waiting;nothing
2;12;None;e;waiting;nothing
3;12;(29, 47);s;moving;move_forward
4;12;(40, 10);s;moving;move_forward
5;12;None;s;waiting;nothing
0;13;(33, 19);s;moving;move_forward
1;13;None;e;waiting;nothing
2;13;None;e;waiting;nothing
3;13;(30, 47);s;moving;move_forward
4;13;(41, 10);s;moving;wait
5;13;None;s;waiting;nothing
0;14;(34, 19);s;moving;move_forward
1;14;None;e;waiting;nothing
2;14;None;e;waiting;nothing
3;14;(31, 47);s;moving;move_forward
4;14;(41, 10);s;stopped;move_forward
5;14;None;s;waiting;nothing
0;15;(35, 19);s;moving;move_forward
1;15;None;e;waiting;nothing
2;15;None;e;waiting;nothing
3;15;(32, 47);s;moving;move_forward
4;15;(42, 10);s;moving;move_left
5;15;None;s;waiting;nothing
0;16;(36, 19);s;moving;move_forward
1;16;None;e;waiting;nothing
2;16;None;e;waiting;nothing
3;16;(33, 47);s;moving;move_forward
4;16;(42, 11);e;moving;move_forward
5;16;None;s;waiting;nothing
0;17;(37, 19);s;moving;move_forward
1;17;None;e;waiting;nothing
2;17;None;e;waiting;nothing
3;17;(34, 47);s;moving;move_forward
4;17;(42, 12);e;moving;move_forward
5;17;None;s;waiting;nothing
0;18;(38, 19);s;moving;move_forward
1;18;None;e;waiting;nothing
2;18;None;e;waiting;nothing
3;18;(35, 47);s;moving;move_forward
4;18;(42, 13);e;moving;move_forward
5;18;None;s;waiting;nothing
0;19;(39, 19);s;moving;move_forward
1;19;None;e;waiting;nothing
2;19;None;e;waiting;nothing
3;19;(36, 47);s;moving;move_forward
4;19;(42, 14);e;moving;move_forward
5;19;None;s;waiting;nothing
0;20;(40, 19);s;moving;move_left
1;20;None;e;waiting;nothing
2;20;None;e;waiting;nothing
3;20;(37, 47);s;moving;move_forward
4;20;(42, 15);e;moving;move_forward
5;20;None;s;waiting;nothing
0;21;(40, 20);e;moving;move_forward
1;21;None;e;waiting;nothing
2;21;None;e;waiting;nothing
3;21;(38, 47);s;moving;move_forward
4;21;(42, 16);e;moving;move_forward
5;21;None;s;waiting;nothing
0;22;(40, 21);e;moving;move_forward
1;22;None;e;waiting;nothing
2;22;None;e;waiting;nothing
3;22;(39, 47);s;moving;move_forward
4;22;(42, 17);e;moving;move_forward
5;22;None;s;waiting;nothing
0;23;(40, 22);e;moving;move_forward
1;23;None;e;waiting;nothing
2;23;None;e;waiting;nothing
3;23;(40, 47);s;moving;move_forward
4;23;(42, 18);e;moving;move_forward
5;23;None;s;waiting;nothing
0;24;(40, 23);e;moving;move_forward
1;24;None;e;waiting;nothing
2;24;None;e;waiting;nothing
3;24;(41, 47);s;moving;move_forward
4;24;(42, 19);e;moving;move_forward
5;24;None;s;ready to depart;move_forward
0;25;(40, 24);e;moving;wait
1;25;None;e;waiting;nothing
2;25;None;e;waiting;nothing
3;25;(42, 47);s;moving;move_forward
4;25;(42, 20);e;moving;move_forward
5;25;(55, 29);s;moving;move_forward
0;26;(40, 24);e;stopped;wait
1;26;None;e;waiting;nothing
2;26;None;e;waiting;nothing
3;26;(43, 47);s;moving;move_forward
4;26;(42, 21);e;moving;move_right
5;26;(56, 29);s;moving;move_forward
0;27;(40, 24);e;stopped;wait
1;27;None;e;waiting;nothing
2;27;None;e;waiting;nothing
3;27;(44, 47);s;moving;move_right
4;27;(43, 21);s;moving;move_forward
5;27;(57, 29);s;moving;move_forward
0;28;(40, 24);e;stopped;wait
1;28;None;e;waiting;nothing
2;28;None;e;waiting;nothing
3;28;(44, 46);w;moving;move_forward
4;28;(44, 21);s;moving;move_forward
5;28;(58, 29);s;moving;move_forward
0;29;(40, 24);e;stopped;wait
1;29;None;e;waiting;nothing
2;29;None;e;waiting;nothing
3;29;(44, 45);w;moving;move_forward
4;29;(45, 21);s;moving;move_forward
5;29;(59, 29);s;moving;move_right
0;30;(40, 24);e;stopped;wait
1;30;None;e;waiting;nothing
2;30;None;e;waiting;nothing
3;30;(44, 44);w;moving;move_forward
4;30;(46, 21);s;moving;move_forward
5;30;(59, 28);w;moving;move_forward
0;31;(40, 24);e;stopped;wait
1;31;None;e;waiting;nothing
2;31;None;e;waiting;nothing
3;31;(44, 43);w;moving;move_forward
4;31;(47, 21);s;moving;move_forward
5;31;(59, 27);w;moving;move_forward
0;32;(40, 24);e;stopped;wait
1;32;None;e;waiting;nothing
2;32;None;e;waiting;nothing
3;32;(44, 42);w;moving;move_forward
4;32;(48, 21);s;moving;move_left
5;32;(59, 26);w;moving;move_forward
0;33;(40, 24);e;stopped;wait
1;33;None;e;waiting;nothing
2;33;None;e;waiting;nothing
3;33;(44, 41);w;moving;move_forward
4;33;(48, 22);e;moving;move_forward
5;33;(59, 25);w;moving;move_right
0;34;(40, 24);e;stopped;wait
1;34;None;e;waiting;nothing
2;34;None;e;waiting;nothing
3;34;(44, 40);w;moving;move_forward
4;34;(48, 23);e;moving;move_forward
5;34;(58, 25);n;moving;move_forward
0;35;(40, 24);e;stopped;wait
1;35;None;e;waiting;nothing
