agent;timestep;action;position;direction;status
0;20;move_forward;None;2;0
0;7;wait;None;2;0
0;76;move_forward;None;2;0
0;10;move_forward;None;2;0
0;61;move_forward;None;2;0
0;32;move_forward;None;2;0
0;83;move_forward;None;2;1
0;17;move_forward;(24, 7);2;3
0;70;move_forward;(24, 7);2;3
0;4;wait;(24, 7);2;3
0;73;move_forward;(24, 7);2;3
0;55;move_forward;(25, 7);2;3
0;58;move_forward;(27, 7);2;3
0;45;move_forward;(28, 7);2;3
0;80;move_forward;(29, 7);2;3
0;30;move_forward;(29, 8);1;3
0;67;move_forward;(29, 8);1;3
0;1;wait;(29, 9);1;3
0;52;move_forward;(29, 9);1;4
0;39;move_forward;(29, 11);1;3
0;42;move_forward;(29, 12);1;3
0;27;move_forward;(29, 13);1;3
0;64;move_forward;(29, 13);1;3
0;14;move_forward;(29, 15);1;3
0;49;move_forward;(29, 16);1;3
0;36;move_forward;(29, 18);1;3
0;21;move_forward;(29, 20);1;3
0;24;move_forward;(29, 20);1;3
0;77;move_forward;(29, 20);1;3
0;11;move_forward;(29, 22);1;3
0;62;move_forward;(29, 24);1;3
0;33;move_right;(28, 25);0;3
0;18;move_forward;(26, 25);0;3
0;71;move_forward;(26, 25);0;3
0;5;wait;(26, 25);0;3
0;74;move_forward;(26, 25);0;3
0;8;move_forward;(24, 25);0;3
0;59;move_forward;(22, 25);0;3
0;46;move_forward;(21, 25);0;3
0;81;move_forward;(20, 25);0;3
0;31;move_left;(19, 25);0;3
0;68;move_forward;(19, 25);0;3
0;2;wait;(19, 25);0;3
0;53;move_forward;(19, 25);0;4
0;56;move_forward;(17, 25);0;3
0;43;move_forward;(16, 25);0;3
0;28;move_forward;(15, 25);0;3
0;65;move_forward;(15, 25);0;3
0;15;move_forward;(13, 25);0;3
0;50;move_forward;(12, 25);0;3
0;37;move_forward;(11, 26);1;3
0;40;move_forward;(11, 27);1;3
0;22;move_forward;(11, 28);1;3
0;25;move_forward;(11, 28);1;3
0;78;move_forward;(11, 28);1;3
0;12;move_forward;(10, 29);0;3
0;63;move_forward;(8, 29);0;3
0;34;move_forward;(6, 29);0;3
0;19;move_forward;(6, 27);3;3
0;6;wait;(6, 27);3;3
0;75;move_forward;(6, 27);3;3
0;9;move_forward;(6, 25);3;3
0;60;move_forward;(6, 23);3;3
0;47;move_forward;(6, 22);3;3
0;82;move_forward;(6, 21);3;3
0;16;move_forward;(6, 20);3;3
0;69;move_forward;(6, 20);3;3
0;3;wait;(6, 20);3;3
0;72;move_forward;(6, 20);3;3
0;54;move_forward;(6, 18);3;3
