agent;timestep;action;position;direction;status
0;0;move_forward;None;1;waiting
0;1;move_forward;None;1;ready to depart
0;2;move_forward;(25, 24);1;moving
0;3;move_forward;(25, 25);1;moving
0;4;move_left;(25, 26);1;moving
0;5;move_forward;(25, 27);1;moving
0;6;move_forward;(25, 28);1;moving
0;7;move_forward;(25, 29);1;moving
0;8;move_forward;(24, 29);0;moving
0;9;move_forward;(23, 29);0;moving
0;10;move_forward;(22, 29);0;moving
0;11;move_forward;(21, 29);0;moving
0;12;move_left;(20, 29);0;moving
0;13;move_forward;(19, 29);0;moving
0;14;move_forward;(18, 29);0;moving
0;15;move_forward;(17, 29);0;moving
0;16;move_forward;(16, 29);0;moving
0;17;move_forward;(15, 29);0;moving
0;18;move_forward;(14, 29);0;moving
0;19;move_forward;(13, 29);0;moving
0;20;move_forward;(12, 29);0;moving
0;21;move_forward;(11, 29);0;moving
0;22;move_forward;(10, 29);0;moving
0;23;move_forward;(9, 29);0;moving
0;24;move_forward;(8, 29);0;moving
0;25;move_forward;(7, 29);0;moving
0;26;move_forward;(6, 29);0;moving
0;27;move_forward;(6, 28);3;moving
0;28;move_forward;(6, 27);3;moving
0;29;move_left;(6, 26);3;moving
0;30;move_forward;(6, 25);3;moving
0;31;move_right;(6, 24);3;moving
0;32;move_forward;(6, 23);3;moving
0;33;move_right;(6, 22);3;moving
0;34;move_forward;(6, 21);3;moving
0;35;move_forward;(6, 20);3;moving
0;36;move_forward;(6, 19);3;moving
0;37;move_forward;(6, 18);3;moving
0;38;move_left;(6, 17);3;moving
0;39;move_forward;(6, 16);3;moving
0;40;move_right;(6, 15);3;moving
0;41;move_forward;(6, 14);3;moving
0;42;move_forward;(6, 13);3;moving
0;43;move_right;(6, 12);3;moving
0;44;move_forward;(6, 11);3;moving
0;45;move_forward;(5, 11);0;moving
0;46;move_forward;(4, 11);0;moving
0;47;move_forward;(3, 11);0;moving
0;48;move_forward;(2, 11);0;moving
0;49;move_forward;(1, 11);0;moving
0;50;move_forward;(1, 10);3;moving
0;51;move_forward;(1, 9);3;moving
0;52;move_forward;(1, 8);3;moving
0;53;move_forward;(1, 7);3;moving
0;54;move_forward;(1, 6);3;moving
0;55;move_forward;(2, 6);2;moving
0;56;move_forward;(3, 6);2;moving
0;57;move_forward;(4, 6);2;moving
0;58;move_forward;(5, 6);2;moving
0;59;move_forward;(6, 6);2;moving
0;60;move_forward;(7, 6);2;moving
0;61;move_forward;(8, 6);2;moving
0;62;move_forward;(9, 6);2;moving
0;63;move_left;(10, 6);2;moving
0;64;move_forward;(11, 6);2;moving
0;65;move_right;(12, 6);2;moving
0;66;move_forward;(13, 6);2;moving
0;67;move_forward;(14, 6);2;moving
0;68;move_forward;(15, 6);2;moving
0;69;move_forward;(16, 6);2;moving
0;70;move_left;(17, 6);2;moving
0;71;move_forward;(18, 6);2;moving
0;72;move_forward;(19, 6);2;moving
0;73;move_forward;(20, 6);2;moving
0;74;move_forward;(20, 6);2;stopped
0;75;move_forward;(20, 6);2;stopped
0;76;move_forward;(20, 6);2;stopped
