agent;timestep;position;direction;status;given_command
0;0;None;s;waiting;nothing
1;0;None;e;waiting;nothing
2;0;None;e;waiting;nothing
3;0;None;n;waiting;nothing
4;0;None;w;waiting;nothing
5;0;None;e;waiting;nothing
6;0;None;w;waiting;nothing
7;0;None;s;waiting;nothing
8;0;None;w;waiting;nothing
9;0;None;w;waiting;nothing
0;1;None;s;waiting;nothing
1;1;None;e;waiting;nothing
2;1;None;e;waiting;nothing
3;1;None;n;waiting;nothing
4;1;None;w;waiting;nothing
5;1;None;e;waiting;nothing
6;1;None;w;waiting;nothing
7;1;None;s;waiting;nothing
8;1;None;w;waiting;nothing
9;1;None;w;waiting;nothing
0;2;None;s;waiting;nothing
1;2;None;e;waiting;nothing
2;2;None;e;waiting;nothing
3;2;None;n;waiting;nothing
4;2;None;w;waiting;nothing
5;2;None;e;waiting;nothing
6;2;None;w;waiting;nothing
7;2;None;s;waiting;nothing
8;2;None;w;waiting;nothing
9;2;None;w;waiting;nothing
0;3;None;s;waiting;nothing
1;3;None;e;waiting;nothing
2;3;None;e;waiting;nothing
3;3;None;n;waiting;nothing
4;3;None;w;waiting;nothing
5;3;None;e;waiting;nothing
6;3;None;w;waiting;nothing
7;3;None;s;waiting;nothing
8;3;None;w;waiting;nothing
9;3;None;w;waiting;nothing
0;4;None;s;waiting;nothing
1;4;None;e;waiting;nothing
2;4;None;e;waiting;nothing
3;4;None;n;waiting;nothing
4;4;None;w;waiting;nothing
5;4;None;e;waiting;nothing
6;4;None;w;waiting;nothing
7;4;None;s;waiting;nothing
8;4;None;w;waiting;nothing
9;4;None;w;waiting;nothing
0;5;None;s;waiting;nothing
1;5;None;e;ready to depart;move_forward
2;5;None;e;waiting;nothing
3;5;None;n;waiting;nothing
4;5;None;w;waiting;nothing
5;5;None;e;waiting;nothing
6;5;None;w;waiting;nothing
7;5;None;s;waiting;nothing
8;5;None;w;waiting;nothing
9;5;None;w;waiting;nothing
0;6;None;s;waiting;nothing
1;6;(35, 38);e;moving;move_forward
2;6;None;e;waiting;nothing
3;6;None;n;waiting;nothing
4;6;None;w;waiting;nothing
5;6;None;e;waiting;nothing
6;6;None;w;waiting;nothing
7;6;None;s;waiting;nothing
8;6;None;w;waiting;nothing
9;6;None;w;waiting;nothing
0;7;None;s;waiting;nothing
1;7;(35, 39);e;moving;move_forward
2;7;None;e;waiting;nothing
3;7;None;n;waiting;nothing
4;7;None;w;waiting;nothing
5;7;None;e;waiting;nothing
6;7;None;w;waiting;nothing
7;7;None;s;waiting;nothing
8;7;None;w;waiting;nothing
9;7;None;w;waiting;nothing
0;8;None;s;waiting;nothing
1;8;(35, 40);e;moving;move_forward
2;8;None;e;waiting;nothing
3;8;None;n;waiting;nothing
4;8;None;w;waiting;nothing
5;8;None;e;waiting;nothing
6;8;None;w;waiting;nothing
7;8;None;s;waiting;nothing
8;8;None;w;waiting;nothing
9;8;None;w;waiting;nothing
0;9;None;s;waiting;nothing
1;9;(35, 41);e;moving;move_forward
2;9;None;e;waiting;nothing
3;9;None;n;waiting;nothing
4;9;None;w;waiting;nothing
5;9;None;e;waiting;nothing
6;9;None;w;waiting;nothing
7;9;None;s;waiting;nothing
8;9;None;w;waiting;nothing
9;9;None;w;waiting;nothing
0;10;None;s;waiting;nothing
1;10;(35, 42);e;moving;move_left
2;10;None;e;waiting;nothing
3;10;None;n;waiting;nothing
4;10;None;w;waiting;nothing
5;10;None;e;waiting;nothing
6;10;None;w;waiting;nothing
7;10;None;s;waiting;nothing
8;10;None;w;waiting;nothing
9;10;None;w;waiting;nothing
0;11;None;s;waiting;nothing
1;11;(34, 42);n;moving;move_forward
2;11;None;e;waiting;nothing
3;11;None;n;ready to depart;move_forward
4;11;None;w;waiting;nothing
5;11;None;e;waiting;nothing
6;11;None;w;waiting;nothing
7;11;None;s;waiting;nothing
8;11;None;w;waiting;nothing
9;11;None;w;waiting;nothing
0;12;None;s;waiting;nothing
1;12;(33, 42);n;moving;move_forward
2;12;None;e;waiting;nothing
3;12;(43, 18);n;moving;move_forward
4;12;None;w;waiting;nothing
5;12;None;e;waiting;nothing
6;12;None;w;waiting;nothing
7;12;None;s;waiting;nothing
8;12;None;w;waiting;nothing
9;12;None;w;waiting;nothing
0;13;None;s;waiting;nothing
1;13;(32, 42);n;moving;move_forward
2;13;None;e;waiting;nothing
3;13;(42, 18);n;moving;move_forward
4;13;None;w;waiting;nothing
5;13;None;e;waiting;nothing
6;13;None;w;waiting;nothing
7;13;None;s;waiting;nothing
8;13;None;w;waiting;nothing
9;13;None;w;waiting;nothing
0;14;None;s;waiting;nothing
1;14;(31, 42);n;moving;move_left
2;14;None;e;waiting;nothing
3;14;(41, 18);n;moving;move_forward
4;14;None;w;waiting;nothing
5;14;None;e;waiting;nothing
6;14;None;w;waiting;nothing
7;14;None;s;waiting;nothing
8;14;None;w;waiting;nothing
9;14;None;w;waiting;nothing
0;15;None;s;waiting;nothing
1;15;(31, 41);w;moving;move_forward
2;15;None;e;waiting;nothing
3;15;(40, 18);n;moving;move_forward
4;15;None;w;waiting;nothing
5;15;None;e;waiting;nothing
6;15;None;w;waiting;nothing
7;15;None;s;waiting;nothing
8;15;None;w;waiting;nothing
9;15;None;w;waiting;nothing
0;16;None;s;waiting;nothing
1;16;(31, 40);w;moving;move_forward
2;16;None;e;waiting;nothing
3;16;(39, 18);n;moving;move_forward
4;16;None;w;waiting;nothing
5;16;None;e;waiting;nothing
6;16;None;w;waiting;nothing
7;16;None;s;waiting;nothing
8;16;None;w;waiting;nothing
9;16;None;w;waiting;nothing
0;17;None;s;waiting;nothing
1;17;(31, 39);w;moving;move_forward
2;17;None;e;waiting;nothing
3;17;(38, 18);n;moving;move_forward
4;17;None;w;waiting;nothing
5;17;None;e;waiting;nothing
6;17;None;w;waiting;nothing
7;17;None;s;waiting;nothing
8;17;None;w;waiting;nothing
9;17;None;w;waiting;nothing
0;18;None;s;waiting;nothing
1;18;(31, 38);w;moving;move_forward
2;18;None;e;waiting;nothing
3;18;(37, 18);n;moving;move_right
4;18;None;w;waiting;nothing
5;18;None;e;waiting;nothing
6;18;None;w;waiting;nothing
7;18;None;s;waiting;nothing
8;18;None;w;waiting;nothing
9;18;None;w;waiting;nothing
0;19;None;s;waiting;nothing
1;19;(31, 37);w;moving;move_forward
2;19;None;e;waiting;nothing
3;19;(37, 19);e;moving;move_forward
4;19;None;w;waiting;nothing
5;19;None;e;waiting;nothing
6;19;None;w;waiting;nothing
7;19;None;s;waiting;nothing
8;19;None;w;waiting;nothing
9;19;None;w;waiting;nothing
0;20;None;s;waiting;nothing
1;20;(31, 36);w;moving;move_right
2;20;None;e;waiting;nothing
3;20;(37, 20);e;moving;move_forward
4;20;None;w;waiting;nothing
5;20;None;e;waiting;nothing
6;20;None;w;waiting;nothing
7;20;None;s;waiting;nothing
8;20;None;w;waiting;nothing
9;20;None;w;waiting;nothing
0;21;None;s;waiting;nothing
1;21;(30, 36);n;moving;move_forward
2;21;None;e;waiting;nothing
3;21;(37, 21);e;moving;move_forward
4;21;None;w;waiting;nothing
5;21;None;e;waiting;nothing
6;21;None;w;waiting;nothing
7;21;None;s;waiting;nothing
8;21;None;w;waiting;nothing
9;21;None;w;waiting;nothing
0;22;None;s;waiting;nothing
1;22;(29, 36);n;moving;move_forward
2;22;None;e;waiting;nothing
3;22;(37, 22);e;moving;move_forward
4;22;None;w;waiting;nothing
5;22;None;e;waiting;nothing
6;22;None;w;waiting;nothing
7;22;None;s;waiting;nothing
8;22;None;w;waiting;nothing
