agent;timestep;action;position;direction;status
0;0;wait;None;3;waiting
0;1;move_forward;None;3;ready to depart
0;2;move_forward;(6, 24);3;moving
0;3;move_forward;(6, 23);3;moving
0;4;move_forward;(6, 22);3;moving
0;5;move_forward;(6, 21);3;moving
0;6;move_forward;(6, 20);3;moving
0;7;move_forward;(6, 19);3;moving
0;8;move_forward;(6, 18);3;moving
0;9;move_forward;(6, 17);3;moving
0;10;move_forward;(6, 16);3;moving
0;11;move_forward;(6, 15);3;moving
0;12;move_forward;(6, 14);3;moving
0;13;move_forward;(6, 13);3;moving
0;14;move_forward;(6, 12);3;moving
0;15;move_forward;(6, 11);3;moving
0;16;move_forward;(6, 10);3;moving
0;17;move_forward;(6, 9);3;moving
0;18;move_forward;(6, 8);3;moving
0;19;move_forward;(6, 7);3;moving
0;20;move_forward;(6, 6);3;moving
0;21;move_forward;(6, 5);3;moving
0;22;move_forward;(6, 4);3;moving
0;23;move_forward;(6, 3);3;moving
0;24;move_forward;(6, 2);3;moving
0;25;move_forward;(6, 1);3;moving
0;26;move_forward;(7, 1);2;moving
0;27;move_forward;(8, 1);2;moving
0;28;move_forward;(9, 1);2;moving
0;29;move_forward;(10, 1);2;moving
0;30;move_forward;(11, 1);2;moving
0;31;move_forward;(12, 1);2;moving
0;32;move_forward;(13, 1);2;moving
0;33;move_forward;(14, 1);2;moving
0;34;move_forward;(15, 1);2;moving
0;35;move_forward;(16, 1);2;moving
0;36;move_forward;(17, 1);2;moving
0;37;move_forward;(18, 1);2;moving
0;38;move_forward;(19, 1);2;moving
0;39;move_forward;(20, 1);2;moving
0;40;move_forward;(21, 1);2;moving
0;41;move_forward;(22, 1);2;moving
0;42;move_forward;(23, 1);2;moving
0;43;move_forward;(24, 1);2;moving
0;44;move_forward;(24, 2);1;moving
0;45;move_forward;(24, 3);1;moving
0;46;move_forward;(24, 4);1;moving
0;47;move_forward;(24, 5);1;moving
0;48;move_forward;(24, 6);1;moving
0;49;move_forward;(24, 7);1;moving
0;50;move_forward;(24, 8);1;moving
0;51;move_forward;(24, 9);1;moving
0;52;move_forward;(24, 10);1;moving
0;53;move_right;(24, 11);1;moving
0;54;move_forward;(25, 11);2;moving
0;55;move_forward;(26, 11);2;moving
0;56;move_forward;(27, 11);2;moving
0;57;move_forward;(28, 11);2;moving
0;58;move_forward;(29, 11);2;moving
0;59;move_forward;(29, 12);1;moving
0;60;move_forward;(29, 13);1;moving
0;61;move_forward;(29, 14);1;moving
0;62;move_forward;(29, 15);1;moving
0;63;move_forward;(29, 16);1;moving
0;64;move_forward;(29, 17);1;moving
