agent;timestep;position;direction;status;given_command
0;0;None;w;waiting;nothing
1;0;None;e;waiting;nothing
2;0;None;s;waiting;nothing
3;0;None;w;waiting;nothing
4;0;None;s;waiting;nothing
5;0;None;w;waiting;nothing
0;1;None;w;ready to depart;move_forward
1;1;None;e;malfunction (off map);nothing
2;1;None;s;waiting;nothing
3;1;None;w;ready to depart;move_forward
4;1;None;s;waiting;nothing
5;1;None;w;waiting;nothing
0;2;(16, 49);w;moving;move_forward
1;2;None;e;malfunction (off map);nothing
2;2;None;s;waiting;nothing
3;2;(38, 30);w;moving;move_forward
4;2;None;s;waiting;nothing
5;2;None;w;waiting;nothing
0;3;(16, 48);w;moving;move_forward
1;3;None;e;malfunction (off map);nothing
2;3;None;s;waiting;nothing
3;3;(38, 29);w;moving;move_forward
4;3;None;s;waiting;nothing
5;3;None;w;waiting;nothing
0;4;(16, 47);w;moving;move_forward
1;4;None;e;malfunction (off map);nothing
2;4;None;s;waiting;nothing
3;4;(38, 28);w;moving;move_forward
4;4;None;s;waiting;nothing
5;4;None;w;waiting;nothing
0;5;(16, 46);w;moving;move_forward
1;5;None;e;malfunction (off map);nothing
2;5;None;s;waiting;nothing
3;5;(38, 27);w;moving;move_forward
4;5;None;s;waiting;nothing
5;5;None;w;waiting;nothing
0;6;(16, 45);w;moving;move_right
1;6;None;e;waiting;nothing
2;6;None;s;waiting;nothing
3;6;(38, 26);w;moving;move_left
4;6;None;s;waiting;nothing
5;6;None;w;waiting;nothing
0;7;(15, 45);n;moving;move_forward
1;7;None;e;waiting;nothing
2;7;None;s;waiting;nothing
3;7;(39, 26);s;moving;move_forward
4;7;None;s;waiting;nothing
5;7;None;w;waiting;nothing
0;8;(14, 45);n;moving;move_forward
1;8;None;e;waiting;nothing
2;8;None;s;waiting;nothing
3;8;(40, 26);s;moving;move_forward
4;8;None;s;waiting;nothing
5;8;None;w;waiting;nothing
0;9;(13, 45);n;moving;move_forward
1;9;None;e;waiting;nothing
2;9;None;s;waiting;nothing
3;9;(41, 26);s;moving;move_forward
4;9;None;s;waiting;nothing
5;9;None;w;waiting;nothing
0;10;(12, 45);n;moving;move_forward
1;10;None;e;waiting;nothing
2;10;None;s;waiting;nothing
3;10;(42, 26);s;moving;move_forward
4;10;None;s;waiting;nothing
5;10;None;w;ready to depart;move_forward
0;11;(11, 45);n;moving;move_forward
1;11;None;e;waiting;nothing
2;11;None;s;waiting;nothing
3;11;(43, 26);s;moving;move_forward
4;11;None;s;waiting;nothing
5;11;(16, 49);w;moving;move_forward
0;12;(10, 45);n;moving;move_forward
1;12;None;e;waiting;nothing
2;12;None;s;waiting;nothing
3;12;(44, 26);s;moving;move_forward
4;12;None;s;waiting;nothing
5;12;(16, 48);w;moving;move_forward
0;13;(9, 45);n;moving;move_left
1;13;None;e;waiting;nothing
2;13;None;s;waiting;nothing
3;13;(45, 26);s;moving;move_forward
4;13;None;s;waiting;nothing
5;13;(16, 47);w;moving;move_forward
0;14;(9, 44);w;moving;move_forward
1;14;None;e;waiting;nothing
2;14;None;s;waiting;nothing
3;14;(46, 26);s;moving;move_forward
4;14;None;s;waiting;nothing
5;14;(16, 46);w;moving;move_forward
0;15;(9, 43);w;moving;move_forward
1;15;None;e;waiting;nothing
2;15;None;s;waiting;nothing
3;15;(47, 26);s;moving;move_forward
4;15;None;s;waiting;nothing
5;15;(16, 45);w;moving;move_right
0;16;(9, 42);w;moving;move_forward
1;16;None;e;waiting;nothing
2;16;None;s;waiting;nothing
3;16;(48, 26);s;moving;move_forward
4;16;None;s;waiting;nothing
5;16;(15, 45);n;moving;move_forward
0;17;(9, 41);w;moving;move_forward
1;17;None;e;waiting;nothing
2;17;None;s;ready to depart;move_forward
3;17;(49, 26);s;moving;move_forward
4;17;None;s;waiting;nothing
5;17;(14, 45);n;moving;move_forward
0;18;(9, 40);w;moving;move_forward
1;18;None;e;waiting;nothing
2;18;(13, 33);s;moving;move_forward
3;18;(50, 26);s;moving;move_forward
4;18;None;s;waiting;nothing
5;18;(13, 45);n;moving;move_forward
0;19;(9, 39);w;moving;move_forward
1;19;None;e;waiting;nothing
2;19;(14, 33);s;moving;move_forward
3;19;(51, 26);s;moving;move_forward
4;19;None;s;waiting;nothing
5;19;(12, 45);n;moving;move_forward
0;20;(9, 38);w;moving;move_forward
1;20;None;e;waiting;nothing
2;20;(15, 33);s;moving;wait
3;20;(52, 26);s;moving;move_right
4;20;None;s;waiting;nothing
5;20;(11, 45);n;moving;move_forward
0;21;(9, 37);w;moving;move_forward
1;21;None;e;waiting;nothing
2;21;(15, 33);s;stopped;move_forward
3;21;(52, 25);w;moving;move_forward
4;21;None;s;waiting;nothing
5;21;(10, 45);n;moving;move_forward
0;22;(9, 36);w;moving;move_forward
1;22;None;e;waiting;nothing
2;22;(16, 33);s;moving;move_forward
3;22;(52, 24);w;moving;move_forward
4;22;None;s;waiting;nothing
5;22;(9, 45);n;moving;move_left
0;23;(9, 35);w;moving;move_forward
1;23;None;e;waiting;nothing
2;23;(16, 33);s;malfunction (on map);wait
3;23;(52, 23);w;moving;move_forward
4;23;None;s;waiting;nothing
5;23;(9, 44);w;moving;move_forward
0;24;(9, 34);w;moving;move_forward
1;24;None;e;waiting;nothing
2;24;(16, 33);s;malfunction (on map);wait
3;24;(52, 22);w;moving;move_forward
4;24;None;s;waiting;nothing
5;24;(9, 43);w;moving;move_forward
0;25;(9, 33);w;moving;move_left
1;25;None;e;waiting;nothing
2;25;(16, 33);s;malfunction (on map);move_forward
3;25;(52, 21);w;moving;move_forward
4;25;None;s;waiting;nothing
5;25;(9, 42);w;moving;move_forward
0;26;(10, 33);s;moving;wait
1;26;None;e;waiting;nothing
2;26;(17, 33);s;moving;move_forward
3;26;(52, 20);w;moving;move_forward
4;26;None;s;waiting;nothing
5;26;(9, 41);w;moving;move_forward
0;27;(10, 33);s;stopped;move_forward
1;27;None;e;waiting;nothing
2;27;(18, 33);s;moving;move_forward
3;27;(52, 19);w;moving;move_forward
4;27;None;s;waiting;nothing
5;27;(9, 40);w;moving;move_forward
0;28;(11, 33);s;moving;move_forward
1;28;None;e;waiting;nothing
2;28;(19, 33);s;moving;move_forward
3;28;(52, 18);w;moving;move_forward
4;28;None;s;waiting;nothing
5;28;(9, 39);w;moving;move_forward
0;29;(12, 33);s;moving;move_forward
1;29;None;e;waiting;nothing
2;29;(20, 33);s;moving;move_forward
3;29;(52, 17);w;moving;move_forward
4;29;None;s;waiting;nothing
5;29;(9, 38);w;moving;move_forward
0;30;(13, 33);s;moving;move_forward
1;30;None;e;waiting;nothing
2;30;(21, 33);s;moving;move_forward
3;30;(52, 16);w;moving;move_forward
4;30;None;s;waiting;nothing
5;30;(9, 37);w;moving;move_forward
0;31;(14, 33);s;moving;move_forward
1;31;None;e;waiting;nothing
2;31;(22, 33);s;moving;move_forward
3;31;(52, 15);w;moving;move_forward
4;31;None;s;waiting;nothing
