agent;timestep;position;direction;status;given_command
0;0;None;s;waiting;nothing
1;0;None;n;waiting;nothing
2;0;None;e;waiting;nothing
3;0;None;w;waiting;nothing
4;0;None;e;waiting;nothing
5;0;None;s;waiting;nothing
0;1;None;s;waiting;nothing
1;1;None;n;waiting;nothing
2;1;None;e;waiting;nothing
3;1;None;w;waiting;nothing
4;1;None;e;waiting;nothing
5;1;None;s;waiting;nothing
0;2;None;s;waiting;nothing
1;2;None;n;waiting;nothing
2;2;None;e;waiting;nothing
3;2;None;w;waiting;nothing
4;2;None;e;waiting;nothing
5;2;None;s;waiting;nothing
0;3;None;s;ready to depart;move_forward
1;3;None;n;waiting;nothing
2;3;None;e;waiting;nothing
3;3;None;w;waiting;nothing
4;3;None;e;waiting;nothing
5;3;None;s;waiting;nothing
0;4;(44, 33);s;moving;move_forward
1;4;None;n;waiting;nothing
2;4;None;e;waiting;nothing
3;4;None;w;waiting;nothing
4;4;None;e;waiting;nothing
5;4;None;s;waiting;nothing
0;5;(45, 33);s;moving;wait
1;5;None;n;malfunction (off map);nothing
2;5;None;e;waiting;nothing
3;5;None;w;waiting;nothing
4;5;None;e;waiting;nothing
5;5;None;s;waiting;nothing
0;6;(45, 33);s;stopped;move_left
1;6;None;n;malfunction (off map);nothing
2;6;None;e;waiting;nothing
3;6;None;w;waiting;nothing
4;6;None;e;waiting;nothing
5;6;None;s;waiting;nothing
0;7;(45, 34);e;moving;wait
1;7;None;n;malfunction (off map);nothing
2;7;None;e;waiting;nothing
3;7;None;w;waiting;nothing
4;7;None;e;waiting;nothing
5;7;None;s;waiting;nothing
0;8;(45, 34);e;stopped;wait
1;8;None;n;malfunction (off map);nothing
2;8;None;e;waiting;nothing
3;8;None;w;waiting;nothing
4;8;None;e;waiting;nothing
5;8;None;s;waiting;nothing
0;9;(45, 34);e;stopped;wait
1;9;None;n;malfunction (off map);nothing
2;9;None;e;waiting;nothing
3;9;None;w;waiting;nothing
4;9;None;e;waiting;nothing
5;9;None;s;waiting;nothing
0;10;(45, 34);e;stopped;wait
1;10;None;n;waiting;nothing
2;10;None;e;waiting;nothing
3;10;None;w;waiting;nothing
4;10;None;e;ready to depart;move_forward
5;10;None;s;waiting;nothing
0;11;(45, 34);e;stopped;wait
1;11;None;n;waiting;nothing
2;11;None;e;waiting;nothing
3;11;None;w;waiting;nothing
4;11;(27, 15);e;moving;move_forward
5;11;None;s;waiting;nothing
0;12;(45, 34);e;stopped;wait
1;12;None;n;waiting;nothing
2;12;None;e;waiting;nothing
3;12;None;w;waiting;nothing
4;12;(27, 16);e;moving;move_forward
5;12;None;s;waiting;nothing
0;13;(45, 34);e;stopped;wait
1;13;None;n;waiting;nothing
2;13;None;e;waiting;nothing
3;13;None;w;waiting;nothing
4;13;(27, 17);e;moving;move_forward
5;13;None;s;waiting;nothing
0;14;(45, 34);e;stopped;wait
1;14;None;n;waiting;nothing
2;14;None;e;waiting;nothing
